,height,weight,max_grade,years_climbing,age,sex
213,0,0,53,17,,0
214,181,78,59,27,44.0,0
215,180,63,57,25,,0
216,175,68,62,18,32.0,0
217,174,63,64,20,39.0,0
218,185,78,66,24,44.0,0
219,0,0,53,2017,,1
220,178,68,68,21,31.0,0
221,0,0,59,2017,44.0,0
222,0,0,36,2017,,0
223,0,0,38,2017,,0
224,179,83,64,33,45.0,0
225,180,73,53,21,44.0,0
226,0,0,55,29,51.0,0
227,176,68,51,22,49.0,0
228,0,0,40,2017,,0
229,0,0,57,2017,,0
230,173,68,66,21,37.0,0
231,180,73,38,19,46.0,0
232,173,68,49,26,46.0,0
233,0,0,55,2017,,1
234,0,0,66,2017,45.0,0
235,170,58,70,21,30.0,0
236,0,0,36,2017,,0
237,173,68,44,18,43.0,0
238,180,78,55,25,46.0,0
239,0,0,64,2017,,0
240,170,68,53,19,43.0,0
241,0,0,44,2017,,0
242,6,0,49,21,37.0,0
243,0,0,62,2017,,0
244,0,0,64,17,,0
245,0,0,51,19,,0
246,0,0,51,24,,0
247,176,63,70,17,,0
248,196,73,51,17,34.0,0
249,0,0,57,2017,,0
250,178,63,59,27,39.0,0
251,178,73,62,26,45.0,0
252,0,0,59,2017,,0
253,179,68,57,20,45.0,0
254,0,0,64,2017,,0
255,180,68,49,17,33.0,0
256,181,73,38,17,59.0,0
257,175,63,64,17,,0
258,183,0,38,27,,0
259,185,73,64,18,33.0,0
260,0,0,51,17,,0
261,171,63,53,18,37.0,0
262,0,0,62,2017,,0
263,155,0,53,18,39.0,1
264,0,0,55,2017,,0
265,177,68,55,25,,0
266,190,68,44,17,33.0,0
267,0,0,62,17,,0
268,176,68,49,17,38.0,0
269,170,68,55,17,46.0,0
270,163,53,46,20,39.0,0
271,0,0,53,26,,0
272,178,68,62,22,45.0,0
273,0,0,57,2017,,0
274,0,0,57,17,,0
275,0,68,62,26,36.0,0
276,0,0,44,2017,,0
277,167,58,64,20,35.0,0
278,0,0,59,18,33.0,0
279,183,78,62,22,45.0,0
280,0,100,62,17,,0
281,0,0,55,2017,,0
282,0,0,55,17,,0
283,172,73,64,19,35.0,0
284,0,0,62,2017,,0
285,180,73,49,17,42.0,0
286,0,73,59,17,34.0,0
287,188,83,55,19,43.0,0
288,0,0,49,17,,0
289,179,73,51,2017,44.0,0
290,178,68,53,17,36.0,0
291,173,68,53,29,45.0,0
292,190,83,59,25,49.0,0
293,0,0,62,17,34.0,0
294,0,0,49,19,,0
295,172,63,53,19,38.0,0
296,0,0,66,32,41.0,0
297,0,0,62,2017,,0
298,186,73,49,28,48.0,0
299,176,63,66,23,40.0,0
300,0,0,40,2017,,1
301,0,53,49,17,,0
302,0,0,57,25,,0
303,0,0,64,2017,,0
304,0,0,44,17,,0
305,0,0,40,17,,1
306,0,0,66,18,30.0,0
307,185,63,62,17,42.0,0
308,0,0,59,2017,,0
309,182,73,62,20,44.0,0
310,178,68,53,17,46.0,0
311,177,73,59,18,41.0,0
312,0,0,42,2017,,0
313,168,53,55,19,31.0,0
314,186,73,49,23,44.0,0
315,182,0,33,17,46.0,0
